review_id,user_id,location_id,rating,review_text
1,187,35,4.2,"A pleasant experience. The ambiance was nice, and the service was prompt."
2,53,88,3.8,"Good enough for a quick visit. Nothing extraordinary, but no complaints."
3,210,12,5.0,"Absolutely fantastic! The best I've experienced in a long time."
4,25,67,2.5,"Very disappointing. The quality was not up to par."
5,112,95,4.5,"Highly recommended! A great place to unwind and enjoy."
6,88,49,3.0,"An average experience. Met expectations but didn't exceed them."
7,195,7,4.8,"Excellent service and a wonderful atmosphere. Will definitely return."
8,31,102,1.5,"Terrible! Avoid at all costs. Very unprofessional."
9,156,21,5.0,"Superb! Everything was perfect. A true gem."
10,7,58,3.5,"Decent place. Good for a casual visit."
11,233,91,4.0,"Enjoyed my time here. The location was convenient."
12,42,18,2.0,"Not a good experience. The quality was lacking."
13,101,76,4.7,"Amazing! The staff were friendly and helpful."
14,178,3,3.3,"It was okay. Nothing special to note."
15,65,105,5.0,"Exceptional! Highly impressed with everything."
16,219,41,2.8,"Below average. Wouldn't recommend."
17,94,82,4.3,"Very enjoyable. A great spot to relax."
18,14,55,3.7,"A solid choice. Consistent quality."
19,163,10,5.0,"Outstanding! Made my day. A must-visit."
20,79,71,1.0,"Awful! The worst experience I've had."
21,202,29,4.6,"Wonderful! Everything was just right."
22,38,98,3.1,"Mediocre. Could have been better."
23,127,63,5.0,"Incredible! Exceeded all expectations."
24,5,8,2.3,"Poor quality. Disappointed with my visit."
25,134,47,4.9,"Fantastic! A truly memorable experience."
26,171,99,3.9,"Pretty good overall. Some minor issues."
27,226,15,5.0,"Magnificent! The attention to detail was impressive."
28,59,78,1.8,"Extremely bad. Waste of time and money."
29,118,32,4.4,"Lovely place. Enjoyed the atmosphere."
30,85,60,3.4,"Satisfactory. Did the job."
31,190,93,5.0,"Spectacular! A truly delightful experience."
32,21,4,2.7,"Not very good. Wouldn't go back."
33,151,85,4.1,"Good experience. Would consider visiting again."
34,72,51,3.6,"Decent. Nothing to rave about."
35,240,106,5.0,"Amazing find! So glad I came here."
36,48,22,1.3,"Horrible! The service was atrocious."
37,107,73,4.7,"Excellent in every way. Highly recommended."
38,183,39,3.2,"Just okay. Nothing stood out."
39,6,97,5.0,"Exceptional quality and service."
40,215,17,2.1,"Very poor. Left feeling unsatisfied."
41,90,65,4.5,"Great value for money. Enjoyed it a lot."
42,146,54,3.9,"A good option. Met my needs."
43,17,104,5.0,"Superb! A fantastic experience from start to finish."
44,75,28,1.6,"Dreadful! The worst I've encountered."
45,238,81,4.2,"A very pleasant visit. Enjoyed the overall experience."
46,34,57,3.5,"Reasonable. Not exceptional, but not bad."
47,139,9,5.0,"Incredible! A truly outstanding place."
48,61,70,2.9,"Disappointing. Expected much more."
49,122,36,4.8,"Wonderful! Made for a great day."
50,199,62,3.1,"Average. Nothing to write home about."
51,28,101,5.0,"Magnificent! A truly memorable spot."
52,166,112,4.0,"A decent place to visit. The views were nice."
53,93,25,3.3,"It was alright. Nothing particularly special."
54,11,89,4.6,"Really enjoyed the natural beauty here."
55,174,56,2.0,"Not a great experience. The facilities were lacking."
56,205,13,4.9,"Absolutely loved it! A must-see location."
57,68,79,3.7,"A good spot for a day trip."
58,141,44,5.0,"Fantastic! The cultural aspect was fascinating."
59,2,103,1.5,"Terrible service and upkeep."
60,189,30,4.3,"A very nice and peaceful location."
61,55,61,3.0,"Met my expectations. A standard experience."
62,222,94,4.1,"Enjoyed the wildlife and nature."
63,39,19,2.5,"Could have been much better. Disappointed."
64,108,72,4.8,"Amazing cultural immersion. Highly recommend."
65,169,4,3.5,"A pleasant and scenic spot."
66,23,100,5.0,"Exceptional! Everything was top-notch."
67,81,27,1.8,"Extremely poor. Avoid if possible."
68,158,80,4.4,"Lovely historical site. Worth visiting."
69,7,59,3.9,"A solid and enjoyable experience."
70,211,14,5.0,"Outstanding! A truly remarkable place."
71,45,77,1.0,"Awful and poorly maintained."
72,128,40,4.7,"Wonderful natural beauty and tranquility."
73,192,66,3.1,"Mediocre at best. Needs improvement."
74,3,90,5.0,"Incredible! Exceeded all expectations."
75,177,23,2.3,"Poor experience. Wouldn't recommend."
76,64,83,4.9,"Fantastic spiritual and scenic location."
77,135,50,3.8,"Pretty good for a religious retreat."
78,208,11,5.0,"Magnificent views and atmosphere."
79,29,74,1.3,"Horrible and unsafe."
80,162,37,4.2,"A very pleasant and calming place."
81,99,67,3.4,"Satisfactory for a short visit."
82,12,95,5.0,"Spectacular natural beauty and activities."
83,175,20,2.7,"Not very good. Felt neglected."
84,71,84,4.0,"Good for wildlife enthusiasts."
85,24,60,3.6,"Decent for a quick getaway."
86,148,16,5.0,"Amazing historical significance."
87,57,75,1.6,"Dreadful and unorganized."
88,186,43,4.5,"Great for adventure and relaxation."
89,8,99,3.2,"Just okay. Nothing to write home about."
90,229,26,5.0,"Exceptional cultural experience."
91,41,81,2.1,"Very poor beach quality."
92,114,58,4.3,"Great for exploring local crafts."
93,171,12,3.7,"A solid historical and natural site."
94,32,96,5.0,"Superb! A must-visit hill station."
95,88,29,1.9,"Extremely bad and disappointing."
96,155,86,4.6,"Wonderful for a peaceful escape."
97,19,63,3.1,"Average experience overall."
98,232,17,5.0,"Incredible natural beauty and serenity."
99,52,70,2.4,"Poorly managed and disappointing."
100,119,33,4.9,"Fantastic archaeological park."
101,180,64,3.9,"Pretty good tribal highlands experience."
102,9,91,5.0,"Magnificent backwaters and village life."
103,168,22,1.7,"Horrible cultural immersion."
104,26,87,4.4,"Lovely frontier mountain region."
105,201,54,3.3,"Satisfactory for a nature visit."
106,46,102,5.0,"Spectacular historical and cultural site."
107,113,25,2.8,"Not very good wildlife experience."
108,176,88,4.1,"Good for untouched meadow exploration."
109,37,55,3.6,"Decent local getaway."
110,84,13,5.0,"Amazing ancient caves and gorge."
111,159,78,1.4,"Dreadful and waste of time."
112,204,40,4.7,"Great for trekking and historical exploration."
113,18,97,3.2,"Just okay offbeat trails."
114,51,68,5.0,"Exceptional nature trails and bridges."
115,121,21,2.2,"Very poor cultural immersion."
116,178,82,4.5,"Great for rock carving enthusiasts."
117,33,59,3.8,"A solid eco-adventure location."
118,96,14,5.0,"Superb beach and bird watching."
119,165,77,1.1,"Awful tribal reserve experience."
120,235,44,4.8,"Wonderful eco-village and clean environment."
121,49,101,3.0,"Mediocre religious retreat."
122,116,28,5.0,"Incredible yoga and cycling spot."
123,173,85,2.6,"Poor wildlife safari experience."
124,30,62,4.2,"Fantastic historical exploration."
125,87,15,3.5,"Reasonable waterfall visit."
126,152,79,5.0,"Amazing hidden waterfalls."
