location_id,name,state,description,latitude,longitude,category,activities_offered,popularity_score,places_to_visit,category_mapped,num_activities,num_places_to_visit,popularity_level,geo_cluster,description_embedding,description_sentiment
1,Chitkul,Himachal Pradesh,"the last inhabited village near the indo-china border in the kinnaur district. known for its raw, untouched beauty, traditional wooden houses, and the baspa river flowing alongside. offers stunning mountain views and a sense of remoteness.",75.74782,154.406871,remote nature-based locations,"trek the charang chitkul pass, enjoy baspa river front view, make a wish with 7 pebbles ritual, explore sangla meadows, learn wood carving at tibetan wood carving centre, experience rakcham landscapes",7200,"mathi temple,kagyupa temple,kamru fort,bering nag temple, buddhist monastery (brelengi gompa),tibetan wood carving centre,rakcham village,sangla meadows",remote_nature,6,8,Medium,4,"[0.35118480791698947, 0.10395288659379161, -0.0753495463143424, 0.11484772567108334, -0.28250646909752425, -0.05858485266428154, 0.17883364140867286, 0.1028481477791687, 0.1649542711003965, 0.02485772324802967, -0.18231708052000026, 0.051563460068680775, 0.03669667026310727, 0.1345865060049223, -0.10887790471997971, -0.06673438919896663, 0.24973433644911044, 0.03227874707731572, -0.1657637279004456, 0.08213164664634671, -0.09494232862780172, -0.1432826997054818, -0.1882696725529286, 0.10682705525604336, -0.06636017905476443, 0.08830355080021672, -0.3051308763406607, 0.0015433762223616729, -0.21891664078829598, -0.2477661021032752, 0.07430851813551591, -0.01478680464767059, -0.17413777936373043, 0.21739009611979607, 0.21083019130930244, -0.015144826855478612, 0.08175070658540175, 0.039069717782635315, -0.05052858153457815, -0.02492680192908562, 0.05401938093050808, 0.031980918630946535, -0.032452062580906535, -0.09075235656482755, 0.09091574240008714, 0.0055518692361831695, 0.053801885494544635, 0.01493777628622594, -0.18602018666065182, -0.14539014277542162, 0.06601022896417161, -0.03459461292701075, 0.06705863728365251, 0.05676660868615581]",0.06703296703296703
2,Landour,Uttarakhand,"a quieter, more charming cantonment town adjacent to mussoorie. retains a colonial-era feel with its old churches, quaint cafes, and walking trails through oak and deodar forests. offers panoramic views of the himalayas without the crowds of its more famous neighbor.",77.349472,-61.657091,remote nature-based locations,"char dukan, landour bakehouse, lal tibba, chukker trail, st. paul's church",9400,"char dukaan,landour bakehouse,lal tibba,st. paul's church,jabarkhet nature reserve",remote_nature,5,5,Medium,0,"[0.2814684583527796, -0.12211920256857164, -0.010725963191479344, -0.059759895453145376, -0.11458379134205128, 0.04594746901167093, 0.11963897078412071, 0.08926781057953204, -0.048309034095802006, 0.04399501692506432, 0.25808297300101174, -0.15135990314272144, 0.4070060734405804, -0.08595706159317333, 0.17742269941120656, 0.27814188795954603, 0.023697638459579846, -0.11379030907897444, 0.08649880246289084, 0.02561783760985826, 0.09909809626631376, -0.046115064355585766, 0.11853745671458471, -0.30977638107621147, -0.0632629969156356, 0.2998006506781293, -0.16439786609061177, -0.0108288618290742, 0.042513703461419715, 0.13028792032472586, -0.057599713236581994, -0.1729299731765631, -0.027350799137163175, 0.22782056294768388, 0.07963946153066333, 0.09253537590428479, -0.04450260193906841, 0.12369671610272619, -0.16595175505619802, -0.06329361625054443, 0.017615580652679978, 0.17039735993900548, -0.052264190700347504, 0.060299312199381214, -0.04106508444354032, -0.03775055208024866, 0.06877267179068522, 0.011456977273470033, 0.08049506873070413, 0.030975027188505304, -0.039845005031534084, -0.02954447279287763, -0.04816596450312863, 0.007489410557256131]",0.4000000000000001
3,Gurez Valley,Jammu And Kashmir,"a picturesque valley nestled in the himalayas, close to the line of control. known for its stunning meadows, the kishanganga river, and the unique culture of its dard-shina inhabitants. offers breathtaking landscapes and a glimpse into a less-explored part of kashmir.",4.011962,73.884906,remote nature-based locations,"shikara ride on dal lake,gulmarg gondola ride,trekking and hiking,skiing and snowboarding",6800,"srinagar,gulmarg,pahalgam,sonamarg, vaishno devi temple (katra)",remote_nature,4,5,Medium,1,"[0.44815913762248166, 0.059113783048558105, 0.12131822733691218, 0.29390827903493044, -0.10629864062851709, 0.015650642136477065, 0.09718233108978082, 0.0241997831608307, 0.09610738890599364, -0.14064865341550808, -0.033964787329721996, -0.051050301649219136, 0.028666669733428962, -0.31576155986237053, -0.05818993361991865, 0.0668991431455409, -0.1125250525075684, -0.02782933117577711, 0.11528755529840974, 0.0025388149310350324, 0.011046428317180055, 0.07387195334852495, -0.1335109810340903, -0.15238174630791404, -0.05398306098514097, -0.06826176544005409, -0.023888920806624886, 0.16833761875033249, 0.1573656879745621, -0.11383094629240037, -0.06198648036306646, 0.1299218278214839, -0.05912416229321831, 0.027199588116650995, -0.1568459371849021, 0.19426763821461632, -0.09424959642330269, -0.05758186739811999, 0.12075934683844752, -0.09052813854374096, 0.2855537743746833, -0.13795043165376342, -0.1381008823095503, 0.09097884365456707, 0.2572104142230271, 0.10145740678719324, -0.15012229335797483, -0.015126404782672024, 0.018338448717461382, 0.00036209141776683343, -0.0940088082756027, -0.05260307456470934, 0.08892282968455523, 0.12245546706963445]",0.49375
4,Shojha,Himachal Pradesh,"a serene village in the seraj valley, known for its dense pine forests, traditional himachali architecture, and tranquility. offers opportunities for trekking, birdwatching, and simply unwinding amidst nature.",-13.159456,-168.705447,remote nature-based locations,"trekking to jalori pass,visiting serolsar lake,exploring the great himalayan national park,trekking to raghupur fort,visiting waterfall point/jibhi waterfall",8400,"jalori pass,waterfall point,serolsar lake,tirthan valley,raghupur fort",remote_nature,5,5,Medium,2,"[0.34240346667979366, 0.3695099873928381, 0.07997010676618055, -0.08599339521021077, -0.14957530132626207, 0.2359457857368828, -0.11926676559207827, -0.15138270643758192, -0.09608716448324257, -0.13762965506077723, -0.03293516376970236, 0.06415321967302871, 0.13310111115698342, 0.07374646114716343, 0.10794509890891067, -0.06452780696217582, 0.02883245151258722, -0.08146365705091012, -0.0023745541169078134, 0.31563573793757504, -0.0669440984252952, 0.14566896565622828, 0.07864445410435586, 0.14916768253140472, -0.048696187745158735, -0.0654731374651237, -0.11864384017929959, -0.12212515576853464, 0.05134551524863381, -0.16593862254135755, 0.03503546462760163, -0.1128291497568412, 0.12146027592838739, -0.19222236402730428, 0.07654049633264992, 0.15561980308449774, -0.05214836293305422, 0.012944535099990776, -0.18319799795359124, 0.16258409408256813, 0.08070163930155036, 0.07009603271766761, 0.15914896854075253, 0.002607381871083828, -0.056674298868150855, 0.0529166911406244, -0.06223965410669498, 0.07276390301555562, -7.625328867226456e-05, 0.2548495918043436, -0.08375103456478412, -0.05914737125796872, 0.14576512161628133, 0.10284360504042982]",0.03333333333333333
5,Pangong Tso West Bank Villages,Ladakh,"while pangong tso itself is popular, exploring the villages along its western bank like spangmik and beyond offers a more intimate experience with the lake and the local changpa culture. expect stunning blue waters, stark mountain landscapes, and a slower pace of life.",-15.533796,110.153536,remote nature-based locations,"river rafting, trekking, go on a camel safari in nubra valley,visit monasteries, wildlife spotting",4600,"shanti stupa, thiksey monastery,pangong tso,nubra valley,leh palace",remote_nature,5,5,Low,3,"[0.37358315828054134, -0.21770073681821656, -0.1778942129215847, 0.039476767280690064, -0.013558576077401817, -0.012973239356261783, -0.036663833488125415, -0.13394913169820954, -0.00895994301069139, 0.009832283749938879, 0.27993557233271515, 0.18469898835574805, -0.14583798442933693, -0.02572423742961659, 0.019421648177100542, -0.09772178105383328, 0.1290410049925161, -0.005187545844590913, 0.28802907636859165, 0.14563972296412497, 0.011495017036154749, -0.15334907196203937, -0.13781998405900195, 0.10471282601442371, 0.08555865873638872, 0.24748645564002594, 0.126475414970109, 0.26938616782923286, 0.005811511534137968, -0.15104255375422027, 0.1570508266562712, -0.03471451875200334, -0.07241515215536581, 0.027175682468283203, -0.02572287333821864, 0.0678771477859421, -0.16773904089766295, -0.07966265661831422, 0.05966706768957272, -0.16812017481236688, -0.1914690775115698, -0.03741776316476101, 0.19883915617025502, -0.008859041414151631, 0.05499024733157497, -0.17097890098371396, 0.0020301693155437687, 0.18813487169040957, 0.02468824024792628, 0.08608307319585724, -0.05616689536319153, -0.02501269912858032, 0.009874981524273994, -0.02425145050374812]",0.18888888888888888
6,Kalpa,Himachal Pradesh,"a scenic village in the sutlej river valley, famous for its breathtaking views of the kinner kailash range, including the sacred shivling rock. known for its apple orchards and traditional kinnauri culture.",-85.248891,-121.063297,remote nature-based locations,"trekking to chakka,
shopping for handicrafts,
camping and hiking,
jeep safari,
exploring roghi village",7400,"kinnaur kailash,kothi village,suicide point,narayan-nagini temple,hu-bu-lan-kar monastery",remote_nature,5,5,Medium,2,"[0.36598901314581916, 0.12131699983507177, 0.06047475028541198, 0.2736582515588524, -0.13903002525748184, 0.13434624559331784, 0.020631246347832772, 0.18084247339995077, 0.019958887435080928, -0.20172561706114472, -0.11784577193493032, 0.02784287220297335, 0.07111987477577403, 0.14572748692903964, 0.021234311603343152, 0.18531407219588075, 0.1835875001221205, 0.05392219847914664, -0.01714872388192421, 0.2528295855090783, 0.0267499586339724, 0.06243188987274044, 0.04924565562665748, -0.14435371786340817, 0.019480258065002098, -0.24887822860109152, 0.042386343611238116, 0.007453113814727873, -0.09646385373997257, 0.12256293697020684, 0.21856884087031395, 0.026735171592856842, 0.1238569601143473, 0.2003386438019548, -0.15775155795979348, 0.049294006115699854, -0.10322240641088293, -0.19347779295633047, 0.22683350438277894, 0.14861334942298443, -0.23176678046227028, 0.1048060383000021, -0.08439242285293089, 0.10102228731630182, -0.05929310685189224, -0.0837246990747565, -0.054291825913331614, 0.03208302177415659, -0.011547502161033528, 0.006526933167965581, 0.09183701868873122, 0.0431469891004468, -0.05679257221977763, -0.07142209579722876]",0.5
7,Munsiyari,Uttarakhand,"a base for treks into the johar valley, offering stunning views of the panchachuli peaks. known for its rhododendron forests, alpine meadows, and the gori ganga river. a haven for nature lovers and trekkers seeking less-trodden paths.",-39.065446,167.648429,remote nature-based locations,"trekking,
visit khaliya top,
explore tribal heritage museum,
visit birthi falls,
enjoy panoramic views of panchachuli peaks",7000,"khaliya top,panchchuli peaks,thamri kund,nanda devi temple,tribal museum",remote_nature,5,5,Medium,3,"[0.3473273723902296, 0.11988192972081216, 0.06271865281771728, 0.04964165411640289, -0.19180668275173327, 0.22914043119212552, 0.02275628982112901, 0.09555931021381013, 0.12293847020993126, -0.2287599253493352, -0.08658542964379246, -0.2107397340673702, -0.11440490515269704, -0.02014475166556436, 0.18950533502561298, 0.11640378145545933, -0.13163741445222377, 0.19348347125921767, 0.11360999153561847, -0.13483409821896816, 0.1788165257233679, -0.006943177173550558, -0.33429370777575357, 0.10756191578639852, 0.046055661650972905, -0.03982161694370064, -0.12477142259299884, 0.10866014302403519, 0.21777096109771335, 0.06234063216890502, -0.05940980356211256, 0.015297959820301306, -0.01217986054712823, -0.11561278099487653, -0.0635933776112615, -0.12156887311767525, 0.20724589281212794, -0.15054054580824217, -0.2249283408255233, 0.05069171775924398, -0.003133183199028216, 0.066884902142501, 0.09146052073048001, -0.025600545294967945, -0.017819206274561062, -0.1321009864458759, 0.18090904398149768, 0.11202152010483434, 0.08717478880063548, -0.06654378072308496, 0.07582953243094541, 0.043239910334225265, -0.040691571378590856, -0.031957432699465216]",-0.15000000000000002
8,Tirthan Valley,Himachal Pradesh,"a hidden gem in the kullu district, known for its pristine tirthan river, lush green valleys, and the entry point to the great himalayan national park. offers excellent opportunities for trout fishing, hiking, and exploring traditional villages.",-30.860632,-5.908256,remote nature-based locations,"trekking at the great himalayan national park,
fishing in the tirthan river,
exploring jalori pass,
camping,
visiting serlosar lake",8600,"great himalayan national park, jibhi village, serolsar lake, and the tirthan river",remote_nature,5,4,Medium,1,"[0.3352645276680913, 0.11814148857164616, 0.00450228070476667, 0.033194006213379444, -0.17760666933595065, -0.00228713965176117, 0.037984150781111906, -0.11405609734045977, 0.015299318875264228, -0.1122898161557572, 0.1607865205983769, 0.47614649353579935, 0.08801421062003857, 0.09973976187468475, -0.11828200555350364, -0.007838985312340271, -0.12490705931886753, 0.22011112605128494, -0.25886051534346494, -0.03797257646755178, -0.049040425083500025, -0.014705826424267524, -0.05181810781039346, 0.0663987196466099, -0.023356914759384794, -0.008640758237312232, -0.020694800962529417, 0.04272425892836153, -0.02211031052967425, 0.4082128718261285, -0.08139671747194768, -0.05927479134183058, -0.19207595956124981, -0.05005148078785613, 0.09202385497572413, 0.12881088959768178, 0.00913681376385628, 0.002229476171921895, -0.025767721137172357, -0.02343094361452015, -0.022416066203221386, -0.21415328877927964, -0.19922291677635942, -0.07572316355581048, -0.1030366968593709, -0.07368102257547532, -0.021744362519597688, 0.09151859572849261, 0.13556937974193722, 0.03495032893015707, -0.05981724802204382, 0.009672748513973747, 0.03118798503417626, 0.01779717312474105]",0.23333333333333334
9,Naukuchiatal,Uttarakhand,"a lake with nine corners, located near nainital but offering a more peaceful ambiance. surrounded by lush hills, it's ideal for boating, kayaking, and enjoying the tranquility of nature away from the bustling tourist spots.",44.798792,-82.510731,remote nature-based locations,"explore surrounding hills, boating, trekking,paragliding,ziplining,shikara ride,scuba diving",9200,"devbhumi adventure park,hanuman temple,bhalu gaad waterfall, butterfly research centre,escape festival in may",remote_nature,7,5,Medium,0,"[0.24081963721141647, 0.0003385526190260238, 0.09590603925168417, -0.2652241367917002, -0.16528341047452147, -0.24864881831295765, -0.1755438218940729, -0.1393156712795087, 0.23366278106782948, -0.07858877548214699, 0.016139057605519768, -0.03767473637481872, -0.09466470824633962, 0.14322645487364125, 0.03274133020068244, -0.0989977690562975, 0.003745225582255968, -0.19932739171997504, 0.10187606005410609, 0.07932936374367822, 0.3574305142658915, -0.1755441912779124, 0.14534244924273107, -0.16133591308532255, -0.15392447276514798, -0.06745720105470447, -0.2587632532845054, 0.17126957857794267, -0.1412269641401814, 0.10012301394828976, -0.10600292817984985, 0.07609126742253057, 0.21251252124014391, -0.20607101540380288, 0.06568984991645263, -0.0442929619473992, 0.08068976216588153, -0.09211168465015489, 0.06282069064088579, -0.10162197269690827, -0.0675502091910436, -0.0014657261907868235, -0.07007203856712042, -0.07657567947123196, 0.024466881096618043, -0.06087283355164453, -0.15284477033497024, -0.04418517987635124, -0.011172587166703645, -0.05080310992174324, -0.008231318352231917, -0.11970440525342922, 0.03491560932188785, -0.012903209456649464]",0.39166666666666666
10,Shekhawati Region,Rajasthan,"known as the 'open-air art gallery' of rajasthan, this region is famous for its beautifully painted havelis (mansions) with intricate frescoes. explore towns like mandawa, nawalgarh, and fatehpur to witness this unique architectural heritage.",6.287708,-40.302682,local or weekend getaways,"horseback riding,desert safaris, camel polo,stargazing",2200,"sikar,churu,badalgarh fort, laxmangarh fort,mandawa",local_getaway,4,5,Low,0,"[0.2575192416134453, -0.08983451026804237, 0.11297446102452169, 0.11383302505477383, 0.3296518367246741, -0.04498976791949261, 0.10356717789576798, 0.0274171199339465, -0.05479271468003529, 0.09541624752402013, -0.0056564343260698, 0.05075661043496404, 0.08733274432126262, 0.3723569599106632, -0.06810867090845152, 0.22490372048245594, -0.2057727435021267, -0.2967229342598962, 0.12755223358103002, 0.018870591865280808, -0.08072318265833575, -0.08489582684106903, -0.031001666978113792, 0.27142885938250244, 0.0497777869790734, 0.018236288813025102, -0.24729670125986866, 0.17409335521831354, 0.23930537079443054, 0.026141801675407816, 0.012419976290136518, 0.1069622794348953, 0.13142410517834846, 0.042021372278790346, -0.03166942212647234, -0.007888235342311306, -0.024723312320380053, 0.12877843733077718, -0.0001539463163776054, 0.10258968167777839, -0.15143139446957815, -0.1677587209011276, -0.12026140695947846, 0.0022782276354629265, 0.057165085975865976, 0.06861187660154508, 0.1038810214340116, -0.046299906498238286, -0.07540686613380752, 0.0861878637078158, 0.07836092027525283, 0.015920274024292018, -0.03210366683134475, 0.0866152824647988]",0.5750000000000001
