Location_id,Name,State,Description,latitude,longitude,Category,activities_offered,popularity_score,Places_to_visit
1,Chitkul,Himachal Pradesh,"The last inhabited village near the Indo-China border in the Kinnaur district. Known for its raw, untouched beauty, traditional wooden houses, and the Baspa River flowing alongside. Offers stunning mountain views and a sense of remoteness.",75.74782,154.406871,Remote nature-based locations,"Trek the Charang Chitkul Pass, Enjoy Baspa River Front View, Make a wish with 7 Pebbles ritual, Explore Sangla Meadows, Learn wood carving at Tibetan Wood Carving Centre, Experience Rakcham Landscapes",7200,"Mathi Temple,Kagyupa Temple,Kamru Fort,Bering Nag Temple, Buddhist Monastery (Brelengi Gompa),Tibetan Wood Carving Centre,Rakcham Village,Sangla Meadows"
2,Landour,Uttarakhand,"A quieter, more charming cantonment town adjacent to Mussoorie. Retains a colonial-era feel with its old churches, quaint cafes, and walking trails through oak and deodar forests. Offers panoramic views of the Himalayas without the crowds of its more famous neighbor.",77.349472,-61.657091,Remote nature-based locations,"Char Dukan, Landour Bakehouse, Lal Tibba, Chukker Trail, St. Paul's Church",9400,"Char Dukaan,Landour Bakehouse,Lal Tibba,St. Paul's Church,Jabarkhet Nature Reserve"
3,Gurez Valley,Jammu and Kashmir,"A picturesque valley nestled in the Himalayas, close to the Line of Control. Known for its stunning meadows, the Kishanganga River, and the unique culture of its Dard-Shina inhabitants. Offers breathtaking landscapes and a glimpse into a less-explored part of Kashmir.",4.011962,73.884906,Remote nature-based locations,"Shikara Ride on Dal Lake,Gulmarg Gondola Ride,Trekking and Hiking,Skiing and Snowboarding",6800,"Srinagar,Gulmarg,Pahalgam,Sonamarg, Vaishno Devi Temple (Katra)"
4,Shojha,Himachal Pradesh,"A serene village in the Seraj Valley, known for its dense pine forests, traditional Himachali architecture, and tranquility. Offers opportunities for trekking, birdwatching, and simply unwinding amidst nature.",-13.159456,-168.705447,Remote nature-based locations,"Trekking to Jalori Pass,Visiting Serolsar Lake,Exploring the Great Himalayan National Park,Trekking to Raghupur Fort,Visiting Waterfall Point/Jibhi Waterfall",8400,"Jalori Pass,Waterfall Point,Serolsar Lake,Tirthan Valley,Raghupur Fort"
5,Pangong Tso West Bank Villages,Ladakh,"While Pangong Tso itself is popular, exploring the villages along its western bank like Spangmik and beyond offers a more intimate experience with the lake and the local Changpa culture. Expect stunning blue waters, stark mountain landscapes, and a slower pace of life.",-15.533796,110.153536,Remote nature-based locations,"river rafting, Trekking, Go on a Camel Safari in Nubra Valley,Visit Monasteries, wildlife spotting",4600,"shanti stupa, thiksey monastery,pangong tso,nubra valley,leh palace"
6,Kalpa,Himachal Pradesh,"A scenic village in the Sutlej River Valley, famous for its breathtaking views of the Kinner Kailash range, including the sacred Shivling rock. Known for its apple orchards and traditional Kinnauri culture.",-85.248891,-121.063297,Remote nature-based locations,"Trekking to Chakka,
Shopping for handicrafts,
Camping and hiking,
Jeep safari,
Exploring Roghi Village",7400,"Kinnaur Kailash,Kothi Village,Suicide Point,Narayan-Nagini Temple,Hu-Bu-Lan-Kar Monastery"
7,Munsiyari,Uttarakhand,"A base for treks into the Johar Valley, offering stunning views of the Panchachuli peaks. Known for its rhododendron forests, alpine meadows, and the Gori Ganga River. A haven for nature lovers and trekkers seeking less-trodden paths.",-39.065446,167.648429,Remote nature-based locations,"Trekking,
Visit Khaliya Top,
Explore Tribal Heritage Museum,
Visit Birthi Falls,
Enjoy Panoramic Views of Panchachuli Peaks",7000,"khaliya top,panchchuli peaks,thamri kund,nanda devi temple,tribal museum"
8,Tirthan Valley,Himachal Pradesh,"A hidden gem in the Kullu district, known for its pristine Tirthan River, lush green valleys, and the entry point to the Great Himalayan National Park. Offers excellent opportunities for trout fishing, hiking, and exploring traditional villages.",-30.860632,-5.908256,Remote nature-based locations,"Trekking at the Great Himalayan National Park,
Fishing in the Tirthan River,
Exploring Jalori Pass,
Camping,
Visiting Serlosar Lake",8600,"Great Himalayan National Park, Jibhi village, Serolsar Lake, and the Tirthan River"
9,Naukuchiatal,Uttarakhand,"A lake with nine corners, located near Nainital but offering a more peaceful ambiance. Surrounded by lush hills, it's ideal for boating, kayaking, and enjoying the tranquility of nature away from the bustling tourist spots.",44.798792,-82.510731,Remote nature-based locations,"explore surrounding hills, boating, trekking,paragliding,ziplining,shikara ride,scuba diving",9200,"devbhumi adventure park,hanuman temple,bhalu gaad waterfall, butterfly research centre,escape festival in may"
10,Shekhawati Region,Rajasthan,"Known as the 'open-air art gallery' of Rajasthan, this region is famous for its beautifully painted havelis (mansions) with intricate frescoes. Explore towns like Mandawa, Nawalgarh, and Fatehpur to witness this unique architectural heritage.",6.287708,-40.302682,Local or weekend getaways,"horseback riding,desert safaris, camel polo,stargazing",2200,"sikar,churu,badalgarh fort, laxmangarh fort,mandawa"
11,Chopta-Tungnath-Chandrashila,Uttarakhand,"A popular trekking circuit offering panoramic views of the Garhwal Himalayas. Chopta is a scenic base, Tungnath is the highest Shiva temple in the world, and Chandrashila peak provides breathtaking sunrise and sunset views. While popular, venturing beyond the main viewpoints offers quieter trails.",33.54401,102.262352,"Remote nature-based locations, Spiritual and religious retreats","trekking, camping, bird watching,yoga and meditation,photography,rock climbing, cycling in chopta",7600,"tungnath temple,Chandrashila Peak,Chopta Meadows,sari village,Kanchula Korak Musk Deer Sanctuary"
12,Losar,Himachal Pradesh,"A picturesque village in the Spiti Valley, known for its stark beauty, traditional Spitian culture, and proximity to high-altitude passes. Offers a glimpse into a remote and rugged Himalayan landscape.",-37.154441,22.444978,Remote nature-based locations,"cultural experiences, daily prayers,Participate in the Losar Festiva",4400,"kunzum pass,chandratal lake,key monastery,spiti valley,langza"
13,Gandikota,Andhra Pradesh,"Often referred to as the 'Grand Canyon of India,' this gorge formed by the Penna River cutting through the Erramala hills is a dramatic sight. Explore the historic Gandikota Fort and enjoy the stunning natural landscape.",1.967912,-121.911886,Local or weekend getaways,"Walk Through the Ruins,Ancient Caves,water sports activities,boating at the boat club,holi dip in pushkarini",4200,"pennar gorge,gandikota fort,belum caves,yaganti temple,owk reservoir,mylavaram dam"
14,Dhanushkodi,Tamil Nadu,"A ghost town at the southeastern tip of Pamban Island, offering a surreal and windswept landscape. The remnants of the old town and the meeting point of the Bay of Bengal and the Indian Ocean create a unique and poignant atmosphere.",-4.621673,102.57618,Beachfront and coastal retreats,"photography,boat ride,visit beach, Visit the Dhanushkodi Lighthouse,bird Watching",4000,"dhanushkodi beach, gulf of mannar marine national park,pamban island,adam's bridge"
15,Athirappilly and Vazhachal Waterfalls,Kerala,"Majestic waterfalls cascading down amidst lush green forests. Often called the 'Niagara of India,' they offer a stunning display of nature's power and beauty. Explore the surrounding rainforests for diverse flora and fauna.",-9.172072,116.902445,Remote nature-based locations,"picnicking,photography,nature walks,bamboo rafting,dream world water park",9600,"Athirappilly Falls,Vazhachal Falls,Thumboormuzhi Dam & Garden, Munakkal Beach "
16,Hampi's Lesser-known Ruins,Karnataka,"Beyond the iconic temples of Hampi, explore the numerous smaller and less-visited ruins scattered across the landscape. Discover hidden temples, ancient settlements, and unique architectural details away from the main tourist crowds.",63.907066,177.468014,Local or weekend getaways,"Bouldering,Rent a scooter and explore the small villages North of Hampi,Hike up to Anjanadri Hill for sunrise,Swim in the Tungabhadra River",8200,"hazara rama, matanga hill,hampi bazaar,Tungabhadra River"
