User_id ,Timestamp,  Which of the following best describes you?  ,  Age Group:   ,  Gender Identity   ,Occupation,Geographical location,  Primary Source of Travel Funding: ,What are your main reasons for pursuing wellness tourism?  ,How often do you travel for wellness or mental health purposes?  ,What type of wellness retreat location appeals to you most?   ,What is your ideal duration for a wellness retreat?  ,How do you prefer to travel for wellness retreats?   ,What wellness services are most important to you?  ,What is your typical budget for a wellness retreat?  ,Which pricing model do you prefer for wellness retreats  ,"Would you pay extra for premium wellness experiences (private sessions, personalized coaching, luxury stays)?   ",What are the biggest barriers preventing you from traveling for wellness more frequently  , How important is sustainability and eco-friendliness in your choice of a wellness retreat?  ,Would you pay extra for eco-friendly and sustainable wellness experiences?   ,How comfortable are you with using AI-driven recommendations for wellness retreats?   ,Would you use a mobile app to manage and plan your wellness travel?   
1,2/8/2025 16:39:08,Traveler - Looking for wellness travel experiences,18 – 24,Female,Student,Urban (metro city),Family-supported,Stress relief and relaxation,Quarterly,Local or weekend getaways,Short retreat (4-7 days),Solo,"Meditation and mindfulness programs, Professional therapy and counseling, Fitness and yoga classes, Digital detox spaces, Holistic medicine (Ayurveda, acupuncture), Sleep therapy and relaxation techniques","₹25,000 – ₹50,000",All-inclusive package (accommodation + food + activities),Yes,"High costs, Lack of awareness about available options, Time constraints (work, family)",2,Yes,1,Yes
2,2/8/2025 17:19:51,Traveler - Looking for wellness travel experiences,18 – 24,Female,Student,Urban (metro city),Family-supported,Stress relief and relaxation,Quarterly,Beachfront and coastal retreats,Short retreat (4-7 days),With friends,Adventure and outdoor activities,"₹50,000 – ₹1,00,000",All-inclusive package (accommodation + food + activities),No,"Time constraints (work, family)",2,No,1,Yes
3,2/8/2025 17:20:29,Traveler - Looking for wellness travel experiences,18 – 24,Female,Student,Urban (metro city),Family-supported,Stress relief and relaxation,Rarely,"Remote nature-based locations (mountains, forests)",Weekend getaway (2-3 days),Solo,"Meditation and mindfulness programs, Professional therapy and counseling, Spa and detox treatments, Fitness and yoga classes, Adventure and outdoor activities, Sleep therapy and relaxation techniques","Under ₹25,000",Pay-per-service (only for selected activities),"Maybe, depending on the price",High costs,2,No,2,Yes
4,2/8/2025 19:47:52,Traveler - Looking for wellness travel experiences,18 – 24,Female,Student,Urban (metro city),Self-funded,Stress relief and relaxation,Annually,Beachfront and coastal retreats,Long-term (1+ months),Solo,"Spa and detox treatments, Fitness and yoga classes, Digital detox spaces","₹50,000 – ₹1,00,000",All-inclusive package (accommodation + food + activities),Yes,"High costs, Lack of awareness about available options, Time constraints (work, family), Travel logistics (visa, flights, location accessibility)",1,Yes,2,Yes
5,2/8/2025 19:50:27,Traveler - Looking for wellness travel experiences,18 – 24,Female,Student,Urban (metro city),Family-supported,Stress relief and relaxation,Annually,"Remote nature-based locations (mountains, forests)",Short retreat (4-7 days),With family,"Spa and detox treatments, Adventure and outdoor activities, Sleep therapy and relaxation techniques","Under ₹25,000",Pay-per-service (only for selected activities),Yes,"High costs, Lack of awareness about available options, Trust in service providers and quality concerns, Travel logistics (visa, flights, location accessibility)",2,Yes,1,Yes
6,2/8/2025 19:52:34,Traveler - Looking for wellness travel experiences,18 – 24,Male,Student,Urban (metro city),Family-supported,Stress relief and relaxation,Quarterly,Beachfront and coastal retreats,Short retreat (4-7 days),With friends,"Spa and detox treatments, Adventure and outdoor activities, Sleep therapy and relaxation techniques, Sound healing and breathwork","Under ₹25,000",Pay-per-service (only for selected activities),"Maybe, depending on the price","Time constraints (work, family)",2,Yes,2,Yes
7,2/8/2025 20:02:37,Traveler - Looking for wellness travel experiences,45 – 54,Female,Working professional,Urban (metro city),Family-supported,Digital detox (disconnect from screens),Annually,"Remote nature-based locations (mountains, forests)",Short retreat (4-7 days),With family,Digital detox spaces,"₹1,00,000+",Corporate wellness sponsorship,Yes,High costs,3,Yes,3,Yes
8,2/8/2025 20:55:04,Traveler - Looking for wellness travel experiences,18 – 24,Female,Student,Urban (metro city),Family-supported,Stress relief and relaxation,Rarely,Beachfront and coastal retreats,Short retreat (4-7 days),With friends,"Meditation and mindfulness programs, Spa and detox treatments, Fitness and yoga classes, Nutrition and personalized meal plans, Adventure and outdoor activities, Sleep therapy and relaxation techniques, Sound healing and breathwork","Under ₹25,000",Subscription-based (monthly/yearly membership for discounts),"Maybe, depending on the price",Lack of awareness about available options,2,No,2,Yes
9,2/8/2025 21:50:02,Traveler - Looking for wellness travel experiences,55+,Female,Working professional,Urban (metro city),Self-funded,Stress relief and relaxation,Annually,"Spiritual and religious retreats (ashrams, monasteries, temples)",Weekend getaway (2-3 days),With family,"Meditation and mindfulness programs, Nutrition and personalized meal plans, Digital detox spaces, Sleep therapy and relaxation techniques, Sound healing and breathwork","₹25,000 – ₹50,000",All-inclusive package (accommodation + food + activities),No,"Time constraints (work, family)",1,Yes,1,Yes
10,2/9/2025 8:29:32,Traveler - Looking for wellness travel experiences,45 – 54,Female,Entrepreneur / Business owner,Urban (metro city),Self-funded,Other,Have never traveled,Local or weekend getaways,Weekend getaway (2-3 days),With family,Nutrition and personalized meal plans,"Under ₹25,000",Pay-per-service (only for selected activities),"Maybe, depending on the price","Time constraints (work, family)",1,Yes,3,Yes
